"comparisons","CS","DS","FbL","FtL","HbL","HdL","HL","IL","SL","SlF3","SlT4","HD","HW","OD","PoPV","SVL","TD"
"Luzon-Mindanao","0.007","0.166","0.000","0.000","0.000","0.000","0.000","0.430","0.000","0.000","0.000","0.002","1.000","0.000","0.000","0.000","0.000"
"Luzon-Palawan","0.862","0.001","0.000","0.000","0.336","0.000","0.000","0.000","0.003","0.000","0.831","0.005","0.002","0.041","0.000","0.016","0.001"
"Mindanao-Palawan","0.143","0.098","0.000","0.000","0.000","0.013","0.002","0.000","0.914","0.201","0.002","1.000","0.004","0.000","0.837","0.000","0.002"
