Pop,Sex,SVL,TD,OD,HW,HD,HL,HdL,FbL,FtL,HbL,LbS,DS,PoPV,SL,IL,SlF3,SlT4,NS,CS
Luzon,m,105.18,2.88,8,14.18,12.65,26.68,20.86,54.41,38.87,90.31,49,33,4,10,10,29,32,9,6
Luzon,f,106.2,3.05,8.38,15.26,13.54,27.47,19.07,53.85,37.88,86.61,45,32,3,9,9,25,32,9,6
Luzon,f,106.51,2.92,9,16.36,13.82,27.68,19.63,55.21,35.72,85.22,56,35,4,10,10,30,35,13,6
Luzon,m,106.63,3.11,9.21,15.54,14.16,31.03,21.51,58.4,39.46,91.97,62,32,4,9,9,31,37,9,7
Luzon,f,106.81,2.81,8.13,14.47,12.72,29.47,19.62,52.27,37.8,88.15,54,39,4,9,9,29,35,10,7
Luzon,f,106.92,3.16,8.25,14.75,12.92,27.88,20.29,56.47,34.04,86.12,58,30,4,12,9,27,33,11,5
Luzon,m,107.33,3.85,9.71,16.16,15.7,30.51,21.76,58.04,37.9,90.49,45,34,2,11,10,31,35,9,6
Luzon,f,107.51,3.54,9,15.48,12.43,29.18,20.65,57.16,39.43,90.49,45,28,2,10,10,28,33,10,6
Luzon,m,107.55,2.95,9.29,15.89,13.29,30.34,21.69,57.11,39.64,90.52,65,35,3,10,10,29,35,10,6
Luzon,f,107.94,3.51,8.72,14.26,12.67,28.09,19.5,52.2,34.14,78.34,58,35,4,10,10,27,34,12,6
Luzon,m,108.55,3.02,8.42,15.83,14.45,29.44,22.87,57.28,40.08,90.78,57,29,4,10,9,27,33,11,7
Luzon,m,108.63,3.39,9.32,15.32,13.44,31.36,23.3,58.33,38.29,90.91,51,32,4,9,10,32,35,11,7
Luzon,m,109.02,2.75,8.82,16.45,13.92,29.42,20.38,56.38,36.82,87.62,54,37,3,10,9,28,32,12,6
Luzon,f,109.06,3.71,8.98,15.45,14.37,29.76,20.97,58.62,38.41,90.82,53,28,4,10,11,31,39,9,6
Luzon,f,109.67,3.01,8.68,15.31,14.13,29.33,20.04,53.72,34.98,85.77,49,31,3,11,10,28,31,9,6
Luzon,m,109.91,2.91,9.1,16.6,13.35,32.76,18.91,53.01,34.81,86.31,50,41,3,11,12,29,34,11,7
Luzon,m,111.07,3.06,9.19,16.33,15.57,32.34,22.82,58.51,37.62,90.03,53,34,4,11,10,28,32,10,7
Luzon,m,112.04,3.5,9.66,17.19,13.37,30.81,20.93,58.75,38.16,92.34,56,31,4,12,11,28,34,9,6
Luzon,f,112.46,3.4,8.55,15.55,14.29,31.34,20.53,54.67,35.89,85.65,46,40,2,11,11,33,39,11,6
Luzon,m,112.97,3.91,8.93,15.97,13.77,31.78,23.93,63.08,41.49,93.65,50,28,4,10,9,28,32,9,6
Luzon,f,113.59,3.01,9.46,17.71,15.49,33.55,23.6,62.72,42.04,98.52,54,31,2,9,8,29,36,9,6
Luzon,m,113.59,3.03,8.7,16.26,14.23,29.56,22.57,57.6,38.49,90.44,52,34,3,9,9,29,35,9,6
Luzon,m,113.86,3.99,10.24,17.77,15.24,32.91,21.02,57.41,37.82,91.23,52,33,2,11,11,27,30,9,6
Luzon,m,113.93,3.98,9.34,16.08,14.06,31.39,21.54,56.17,38.18,89.67,45,33,3,10,11,28,32,8,6
Luzon,m,114.37,3.01,8.78,17.52,14.43,32.1,22.71,59.31,41.04,95.17,58,29,2,9,9,29,33,11,6
